Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7515792,The Illustrated Man,Ray Bradbury,"Bradbury, Ray",Paul Michael Garcia,"=""143329723X""","=""9781433297236""",0,4.13,Blackstone Audio,Audiobook,9,2009,1951,,2023/12/03,"to-read, nyc-collection","to-read (#152), nyc-collection (#146)",to-read,,,,0,0
40914164,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""149267012X""","=""9781492670124""",3,3.80,Sourcebooks Landmark,Paperback,458,2019,2018,2023/11/29,2023/03/06,,,read,"I enjoyed this more than I thought after it took some unexpected turns, but a lot of the world was left unexplained.",,,1,0
48829708,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,3.80,Tor Books,Hardcover,880,2020,2020,,2023/11/22,"to-read, nyc-collection","to-read (#151), nyc-collection (#145)",to-read,,,,0,0
33516773,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399587195""","=""9780399587191""",0,4.31,Berkley,Paperback,460,2017,2014,,2023/11/22,"to-read, nyc-collection","to-read (#150), nyc-collection (#144)",to-read,,,,0,0
59416521,"Ithaca (The Songs of Penelope, #1)",Claire North,"North, Claire",,"=""""","=""""",0,3.69,Redhook,Kindle Edition,391,2022,2022,,2023/11/22,"to-read, nyc-collection","to-read (#149), nyc-collection (#143)",to-read,,,,0,0
37435,The Secret Life of Bees,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0142001740""","=""9780142001745""",4,4.10,Penguin Books,Paperback,302,2003,2001,2023/11/18,2023/10/01,top-100-book-poster,top-100-book-poster (#13),read,,,,1,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",3,4.00,W. W. Norton & Company,Paperback,240,2019,1962,2023/11/17,2023/10/01,top-100-book-poster,top-100-book-poster (#6),read,Very violent. Hard to read at the start until the slang becomes more familiar,,,1,0
77470,The Shipping News,Annie Proulx,"Proulx, Annie",,"=""0671510053""","=""9780671510053""",0,3.88,Scribner / Simon & Schuster,Paperback,337,1994,1993,,2023/04/16,"to-read, nyc-collection","to-read (#35), nyc-collection (#31)",to-read,,,,0,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",5,4.28,Doubleday Books,Hardcover,390,2022,2022,2023/01/24,2023/01/17,"favorites, nyc-collection","favorites (#2), nyc-collection (#142)",read,,,,1,0
8534205,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,"Blum, Deborah",,"=""014311882X""","=""9780143118824""",0,4.01,Penguin Books,Paperback,319,2011,2010,,2023/11/11,to-read,to-read (#146),to-read,,,,0,0
3437309,"Empire in Black and Gold (Shadows of the Apt, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0230704131""","=""9780230704138""",0,3.76,Pan Macmillan,Paperback,612,2008,2008,,2023/11/11,to-read,to-read (#145),to-read,,,,0,0
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",0,3.56,Crown Publishing ,Hardcover,355,2015,2015,,2023/11/11,to-read,to-read (#144),to-read,,,,0,0
69310866,Circe,Madeline Miller,"Miller, Madeline",,"=""1663603340""","=""9781663603340""",0,4.23,Turtleback,Library Binding,416,2019,2018,,2023/11/11,to-read,to-read (#143),to-read,,,,0,0
59563784,His Name was Death,Rafael Bernal,"Bernal, Rafael",Kit Schluter,"=""0811230848""","=""9780811230841""",0,4.09,New Directions,Kindle Edition,161,2021,1947,,2023/11/11,to-read,to-read (#142),to-read,,,,0,0
58425167,Meditations: A New Translation,Marcus Aurelius,"Aurelius, Marcus",Hays Gregory.,"=""""","=""""",0,4.28,,Kindle Edition,188,2021,180,,2023/11/11,to-read,to-read (#141),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.64,St. Martin's Press,Hardcover,564,2015,2015,,2023/11/06,"to-read, nyc-collection","to-read (#140), nyc-collection (#140)",to-read,,,,0,0
123285511,"The Exchange (The Firm, #2)",John Grisham,"Grisham, John",,"=""0385548958""","=""9780385548953""",4,3.68,Doubleday,Hardcover,338,2023,2023,2023/11/05,2023/07/07,nyc-collection,nyc-collection (#137),read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,4.28,St. Martin's Griffin,Paperback,264,2004,1939,2023/11/01,2023/10/19,top-100-book-poster,top-100-book-poster (#37),read,,,,1,0
132391,The Little Mermaid,Hans Christian Andersen,"Andersen, Hans Christian","Anthea Bell, Lisbeth Zwerger","=""""","=""""",4,3.98,Minedition,Hardcover,48,2004,1836,2023/11/01,2023/10/01,top-100-book-poster,top-100-book-poster (#9),read,,,,1,0
3591262,Cutting for Stone,Abraham   Verghese,"Verghese, Abraham",,"=""0375414495""","=""9780375414497""",0,4.33,Alfred A. Knopf,Hardcover,560,2009,2009,,2023/05/07,"to-read, nyc-collection","to-read (#52), nyc-collection (#139)",to-read,,,,0,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",5,4.14,Broadway,Paperback,246,1998,1990,,2023/05/30,"favorites, essential-five, nyc-collection","favorites (#14), essential-five (#1), nyc-collection (#138)",read,,,,1,0
29475447,"A Closed and Common Orbit (Wayfarers, #2)",Becky  Chambers,"Chambers, Becky",,"=""1473621445""","=""9781473621442""",3,4.37,Hodder & Stoughton,Hardcover,365,2016,2016,2023/10/30,2023/10/30,,,read,,,,1,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",4,4.16,Children's Classics,Hardcover,331,1998,1911,2023/10/30,2023/10/19,top-100-book-poster,top-100-book-poster (#56),read,,,,1,0
33507,"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,"Verne, Jules",Anthony Bonner,"=""076072850X""","=""9780760728505""",5,3.89,Barnes & Noble,Hardcover,269,2002,1869,2023/10/25,2023/05/15,"nyc-collection, top-100-book-poster","nyc-collection (#112), top-100-book-poster (#21)",read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",0,4.24,HarperCollins Publishers,Paperback,206,2005,1950,,2023/10/19,"to-read, top-100-book-poster","to-read (#136), top-100-book-poster (#100)",to-read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2011/08/26,top-100-book-poster,top-100-book-poster (#98),read,,,,1,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192833594""",0,3.80,Oxford University Press,Paperback,544,1998,1861,,2023/10/19,"to-read, top-100-book-poster","to-read (#139), top-100-book-poster (#97)",to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.35,Vintage,Paperback,512,2015,2011,,2023/10/19,"to-read, top-100-book-poster","to-read (#137), top-100-book-poster (#95)",to-read,,,,0,0
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.77,Vintage,Paperback,783,1990,1922,,2023/10/08,"to-read, top-100-book-poster","to-read (#97), top-100-book-poster (#94)",to-read,,,,0,0
